County,Avg Median Income,Avg heart disease per 100000,Avg Heart Disease per 10000000
Broome County,39812.22707,345.2818182,34528.18182
Orange County,45355.14019,294.94375,29494.375
Albany County,43894.85585,283.1533333,28315.33333
Herkimer County,40506.5383,350.4545455,35045.45455
New York County,42613.1593,303.7333333,30373.33333
Rensselaer County,43763.04024,304.8571429,30485.71429
Saratoga County,46175.41337,247.8714286,24787.14286
Schenectady County,43327.97428,333.5533333,33355.33333
Richmond County,44394.96176,404.2666667,40426.66667
Putnam County,48646.72365,285.38,28538
Suffolk County,48033.46133,316.79375,31679.375
Tompkins County,41832.41252,307.42,30742
Niagara County,40183.32135,404.21875,40421.875
Nassau County,48796.48027,312.9,31290
Genesee County,42150,307.4777778,30747.77778
Montgomery County,39693.20066,340.1785714,34017.85714
Orleans County,42150,353.78,35378
Allegany County,39119.80786,371.4,37140
Otsego County,40506.5383,327.9416667,32794.16667
Hamilton County,40648.3871,331.9,33190
Rockland County,46430.87855,259.925,25992.5
Clinton County,40648.3871,334.0428571,33404.28571
St. Lawrence County,39237.53666,377.7,37770
Steuben County,40627.74792,394.9,39490
Ulster County,42212.5,311.2214286,31122.14286
Wyoming County,42931.20393,323.3705882,32337.05882
Chemung County,40627.74792,431.3777778,43137.77778
Chautauqua County,39094.36226,390.7888889,39078.88889
Queens County,43229.88506,294.0611111,29406.11111
Schoharie County,42506.5383,323.2857143,32328.57143
Franklin County,40648.3871,362.7571429,36275.71429
Tioga County,39812.22707,355.07,35507
Warren County,42028.43602,317.1833333,31718.33333
Essex County,40648.3871,332.1285714,33212.85714
Delaware County,39812.22707,346.1083333,34610.83333
Livingston County,42931.20393,263.5285714,26352.85714
Kings County,40055.58188,318.8058824,31880.58824
Yates County,40575.34247,325.0571429,32505.71429
Oneida County,40506.5383,313.8428571,31384.28571
Sullivan County,42212.5,330.2230769,33022.30769
Erie County,40864.39442,336.1166667,33611.66667
Oswego County,41628.64721,333.7142857,33371.42857
Westchester County,46750.89117,257.94,25794
Chenango County,39812.22707,481.4888889,48148.88889
Ontario County,42575.34247,286.2357143,28623.57143
Schuyler County,40627.74792,358.25,35825
Cattaraugus County,39119.80786,387.0529412,38705.29412
Bronx County,34591.03016,359.7125,35971.25
Washington County,42028.43602,278.9555556,27895.55556
Fulton County,39693.20066,399.7,39970
Dutchess County,45901.23812,280.4066667,28040.66667
Monroe County,42184.07446,275.9933333,27599.33333
,41926.12115,,33208.55903
